City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Tura,IN,2021-03-28 16:07:04,25.5198,90.2201,76.39,17,0,4.09
241,Iqaluit,CA,2021-03-28 16:09:06,63.7506,-68.5145,10.4,72,90,19.57
242,Kieta,PG,2021-03-28 16:09:06,-6.2167,155.6333,78.24,85,41,3.11
243,Roald,NO,2021-03-28 16:09:06,62.5833,6.1333,44.6,76,75,23.02
244,Nemuro,JP,2021-03-28 16:09:07,43.3236,145.575,39.94,97,100,30.33
245,Alofi,NU,2021-03-28 16:09:07,-19.0595,-169.9187,77.0,94,11,5.75
246,Belyy Yar,RU,2021-03-28 16:09:07,53.6039,91.3903,33.8,86,100,2.24
247,Naryan-Mar,RU,2021-03-28 16:09:08,67.6713,53.087,30.78,98,100,5.84
248,Tumaco,CO,2021-03-28 16:08:19,1.7986,-78.8156,79.97,82,82,8.37
249,Luderitz,NA,2021-03-28 16:09:08,-26.6481,15.1594,67.57,68,5,8.43
250,Hohhot,CN,2021-03-28 16:09:08,40.8106,111.6522,39.2,28,0,6.71
251,Hirara,JP,2021-03-28 16:09:09,24.8,125.2833,74.03,88,8,1.54
252,Ossora,RU,2021-03-28 16:09:09,59.2353,163.0719,0.61,79,5,9.19
253,Ust-Ilimsk,RU,2021-03-28 16:07:23,58.0006,102.6619,23.86,98,100,2.64
254,Pangai,TO,2021-03-28 16:09:10,-19.8,-174.35,81.57,79,45,19.6
255,Souillac,MU,2021-03-28 16:09:10,-20.5167,57.5167,80.6,83,40,1.79
256,Huilong,CN,2021-03-28 16:09:10,31.8111,121.655,64.99,73,0,1.01
257,Sambava,MG,2021-03-28 16:09:11,-14.2667,50.1667,79.07,86,54,6.76
258,Davila,PH,2021-03-28 16:09:11,18.4726,120.5763,77.0,94,20,2.3
259,Ayan,RU,2021-03-28 16:09:11,56.45,138.1667,13.44,91,97,3.74
260,Bubaque,GW,2021-03-28 16:09:12,11.2833,-15.8333,77.54,61,12,9.17
261,La Ronge,CA,2021-03-28 16:09:12,55.1001,-105.2842,24.8,86,100,12.66
262,Lagos,NG,2021-03-28 16:09:12,6.5833,3.75,88.39,59,46,10.07
263,Kingisepp,RU,2021-03-28 16:09:12,59.3733,28.6134,38.25,93,99,3.02
264,Harper,LR,2021-03-28 16:09:12,4.375,-7.7169,83.84,69,31,8.12
265,Tasiilaq,GL,2021-03-28 16:09:13,65.6145,-37.6368,21.2,53,20,9.22
266,Bestobe,KZ,2021-03-28 16:09:13,52.4994,73.0975,28.96,91,72,18.03
267,Isangel,VU,2021-03-28 16:09:13,-19.55,169.2667,76.71,87,5,5.93
268,Lavras Da Mangabeira,BR,2021-03-28 16:09:13,-6.7533,-38.9644,86.68,58,61,4.56
269,Kavaratti,IN,2021-03-28 16:09:14,10.5669,72.642,84.2,73,100,7.96
270,Rajapalaiyam,IN,2021-03-28 16:09:14,9.45,77.5667,82.26,69,81,6.73
271,Koungheul,SN,2021-03-28 16:09:14,13.9833,-14.8,107.04,4,1,6.96
272,Lavrentiya,RU,2021-03-28 16:09:14,65.5833,-171.0,1.92,96,100,13.35
273,Bathsheba,BB,2021-03-28 16:09:15,13.2167,-59.5167,84.2,58,40,28.77
274,Pevek,RU,2021-03-28 16:09:15,69.7008,170.3133,-19.23,97,28,1.43
275,Ngunguru,NZ,2021-03-28 16:09:15,-35.6167,174.5,64.99,95,100,5.01
276,Jevnaker,NO,2021-03-28 16:09:15,60.2414,10.385,41.0,89,87,6.78
277,Waipawa,NZ,2021-03-28 16:09:16,-41.4122,175.5153,62.6,94,90,17.27
278,Grindavik,IS,2021-03-28 16:05:43,63.8424,-22.4338,35.6,75,20,1.14
279,Pokrovsk,UA,2021-03-28 16:09:16,48.282,37.1758,42.6,61,38,3.85
280,Sorong,ID,2021-03-28 16:09:16,-0.8833,131.25,77.61,90,100,7.16
281,Grandview,US,2021-03-28 16:09:17,38.8858,-94.533,50.0,46,1,11.5
282,Fergus Falls,US,2021-03-28 16:09:17,46.283,-96.0776,36.0,64,1,4.61
283,Mar Del Plata,AR,2021-03-28 16:05:00,-38.0023,-57.5575,68.0,77,75,13.8
284,Las Palmas,ES,2021-03-28 16:09:18,28.4204,-14.0131,73.4,60,20,17.27
285,Bud,US,2021-03-28 16:09:18,39.447,-86.1758,42.01,81,99,19.48
286,Cukai,MY,2021-03-28 16:09:18,4.25,103.4167,80.6,89,7,3.36
287,Tiksi,RU,2021-03-28 16:09:18,71.6872,128.8694,2.28,99,100,1.01
288,Hambantota,LK,2021-03-28 16:09:19,6.1241,81.1185,73.4,100,75,2.3
289,Kokopo,PG,2021-03-28 16:09:19,-4.352,152.2633,77.4,79,99,3.78
290,Sola,VU,2021-03-28 16:09:19,-13.8833,167.55,82.15,77,17,17.27
291,Hasaki,JP,2021-03-28 16:09:19,35.7333,140.8333,62.6,94,75,14.97
292,Nantucket,US,2021-03-28 16:09:20,41.2835,-70.0995,46.4,93,90,21.85
